scenario_initial_capital_krw,year,annual_dividend_nominal_krw,monthly_dividend_nominal_krw,monthly_dividend_real_krw,target_monthly_nominal_krw,monthly_gap_nominal_krw,real_coverage_pct,target_reached
100000000,47,240538596.16,20044883.01,12557377.73,1596263.44,18448619.57,1255.7378,Y
100000000,48,264592455.78,22049371.31,13676351.98,1612226.08,20437145.24,1367.6352,Y
100000000,49,291051701.35,24254308.45,14895036.81,1628348.34,22625960.11,1489.5037,Y
100000000,50,320156871.49,26679739.29,16222317.32,1644631.82,25035107.47,1622.2317,Y
100000000,51,352172558.64,29347713.22,17667870.35,1661078.14,27686635.08,1766.787,Y
100000000,52,387389814.5,32282484.54,19242235.03,1677688.92,30604795.62,1924.2235,Y
100000000,53,426128795.95,35510733.0,20956889.64,1694465.81,33816267.19,2095.689,Y
100000000,54,468741675.55,39061806.3,22824335.25,1711410.47,37350395.83,2282.4335,Y
100000000,55,515615843.1,42967986.93,24858186.91,1728524.57,41239462.35,2485.8187,Y
100000000,56,567177427.41,47264785.62,27073272.87,1745809.82,45518975.8,2707.3273,Y
100000000,57,623895170.16,51991264.18,29485742.73,1763267.92,50227996.26,2948.5743,Y
100000000,58,686284687.17,57190390.6,32113185.15,1780900.6,55409490.0,3211.3185,Y
100000000,59,754913155.89,62909429.66,34974756.11,1798709.6,61110720.05,3497.4756,Y
100000000,60,830404471.48,69200372.62,38091318.53,1816696.7,67383675.92,3809.1319,Y
